OBJECTID,URI,FEATURE_TYPE,NAME,OPERATIONAL_STATUS,FEATURE_DATE,FEATURE_SOURCE,ATTRIBUTE_DATE,ATTRIBUTE_SOURCE,SOURCE_UFI,SOURCE_JURISDICTION,CUSTODIAN_AGENCY,CUSTODIAN_LICENSING,LOADING_DATE,RELATIONSHIP,CAPACITY_KV,SHAPE_Length
1,,110008,Wagga 330 to Australian Newsprint Mills,Operational,23/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,164,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.00504301
2,,110008,Albury to Australian Newsprint Mills,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,165,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.098777864
3,,110008,Jindera to Australian Newsprint Mills,Operational,24/02/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,166,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.115720632
4,,110008,Wodonga Terminal to Jindera,Operational,21/12/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,167,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,330,0.42244075
5,,110008,Hume to Wodonga Terminal,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,168,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.132855848
6,,110008,Albury to Hume,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,169,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.127047523
7,,110008,Albury to Jindera,Operational,14/08/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,170,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.16418374
8,,110008,Bendigo Terminal to Kerang Terminal,Operational,17/11/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,171,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.133441688
9,,110008,Shepparton Terminal Station to Fosterville Tee,Operational,15/11/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,172,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.994951846
10,,110008,Bendigo Terminal to Ballarat Terminal,Operational,30/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,173,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.900167402
11,,110008,Dederang Terminal to Shepparton Terminal,Operational,13/10/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,174,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.656517782
12,,110008,Sydenham Terminal to South Morang Terminal,Operational,6/01/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,175,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.446383201
13,,110008,Sydenham Terminal to South Morang Terminal,Operational,6/01/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,176,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.446287664
